Edad,Genero,Nivel.educativo,Producto,Precio.unidad,Cantidad,Descuento,Total.pagar,Gasto.promedio,Frecuencia.compra,Rating,Tiempo.web,Influencer,Pago,Compra
26,Femenino,Secundaria,Kindle Paperwhite,142.53,8,44,638.53,149.71,26,5.5,1.86,Si,PayPal,Si
41,Masculino,Secundaria,Fire TV Stick 4K,139.79,10,24,1062.4,2260.68,173,3.6,6.87,Si,PayPal,No
27,Masculino,Universitaria,Apple AirPods Pro,102.56,1,44,57.43,175.93,108,2.8,2.59,No,Transferencia,Si
19,Masculino,Universitaria,Nintendo Switch,46.96,1,48,24.42,676.78,15,1.8,16.64,No,PayPal,No
66,Femenino,Primaria,Galaxy S23,107.39,1,19,86.99,2667.56,100,2.8,9.14,No,Transferencia,Si
33,Femenino,Primaria,Nintendo Switch,66.85,6,4,385.06,1137.1,53,3.7,14.28,Si,PayPal,Si
24,Masculino,Primaria,Apple AirPods Pro,49.48,1,6,46.51,2155.43,240,5.5,14.46,No,Transferencia,Si
38,Masculino,Primaria,Nintendo Switch,138.17,19,15,2231.45,842.42,72,3.7,2.82,No,Transferencia,Si
70,Femenino,Primaria,Apple AirPods Pro,42.81,11,47,249.58,390.67,56,2.8,20.48,No,PayPal,Si
45,Masculino,Universitaria,Nintendo Switch,137.26,10,29,974.55,409.16,61,2.7,4.85,Si,PayPal,No
54,Femenino,Secundaria,Nintendo Switch,148.46,12,39,1086.73,2895.57,167,0.9,20.51,No,Transferencia,No
56,Masculino,Universitaria,Echo Dot (4th Gen),123.55,7,10,778.36,1456.84,84,5.5,21.68,No,Tarjeta de crédito,Si
44,Masculino,Universitaria,Galaxy S23,140.35,15,5,1999.99,141.07,11,4.6,14.09,No,Transferencia,Si
24,Femenino,Secundaria,Apple AirPods Pro,54.12,4,46,116.9,337.92,40,5.5,3.8,Si,PayPal,Si
56,Femenino,Primaria,Echo Dot (4th Gen),124.1,6,48,387.19,1658.94,138,5.5,11.38,Si,Tarjeta de crédito,Si
20,Femenino,Secundaria,Kindle Paperwhite,67.79,13,28,634.51,1185.95,51,5.5,23.77,No,PayPal,Si
